question,answer
What is the name of the virus that was detected in sweet orange plantings in Brazil?,Huanglongbing.
What is the purpose of cross protection in Citrus tristeza virus management?,To reduce losses.
Who published a study on the long-term cross protection of severe stem pitting Citrus tristeza virus in Peru?,"Bederski, Roistacher, Silvestre, and Muller."
What is the name of the disease caused by Spiroplasma citri?,Huanglongbing.
Who published a study on the ecology of Spiroplasma citri?,Calavan and Bove.
What is the name of the viroid that causes exocortis of citrus?,Citrus exocortis viroid.
Who published a study on the rapid indexing for exocortis of citrus?,"Calavan, Frolich, Carpenter, Roistacher, and Christiansen."
What is the name of the disease characterized by impietratura symptoms in four citrus species?,Impietratura disease.
Who published a study on the observation of impietratura disease symptoms in four citrus species?,"Caruso, Davino, and Terranova."
What is the name of the rootstock that can affect fruit quality in citrus and deciduous tree crops?,Swingle citrumelo.
Who published a study on the rootstock as a fruit quality factor in citrus and deciduous tree crops?,Castle.
What is the name of the disease that causes tree decline losses among Navel orange trees on Swingle citrumelo rootstock?,Huanglongbing.
Who published a study on the spatio-temporal analysis of tree decline losses among Navel orange trees on Swingle citrumelo rootstock?,Castle and Gottwald.
What is the name of the virus that occurs in China and causes dwarfing of Satsuma oranges?,Satsuma dwarf virus.
Who published a study on the occurrence of Satsuma dwarf virus in China?,"Changyong, Xueyuan, Yuanhui, and Xinhua."
What is the name of the disease caused by Citrus tristeza virus?,Citrus tristeza disease.
Who published a study on Citrus tristeza virus: Complex and tristeza disease?,da Grac¸a and van Vuuren.
What is the name of the viroid that causes cachexia disease of Orlando tangelo?,Citrus cachexia viroid.
Who published a study on the occurrence of cachexia disease of Orlando tangelo?,Childs.
What is the name of the disease that causes mosaic symptoms in sweet oranges?,Mosaic disease.
Who published a study on the mosaic disease in sweet oranges?,Dakshinamurti and Reddy.
What is the name of the virus that causes citrus ringspot?,Citrus ringspot virus.
Who characterized a virus associated with citrus ringspot in 1988?,"Derrick, K. S., Brlansky, R. H., de Graca, J. V., Lee, R. F., Timmer, L. W., & Nguyen, T. K."
What is the name of the disease caused by Citrus tristeza virus?,Tristeza.
Who identified citrus viroids and their relationship to exocortis disease in 1988?,"Duran-Vila, N., Roistacher, C. N., Rivera-Bustamante, R., & Semancik, J. S."
What is the name of the book written by H. S. Fawcett in 1936?,Citrus diseases and their control.
What is the name of the virus that causes psorosis in citrus?,Psorosis virus.
Who demonstrated that psorosis is a virus disease in 1934?,"Fawcett, H. S."
What is the name of the conference where the 14th International Organisation of Citrus Virologists presented their research in 2000?,Proceedings of the 14th conference of the International Organisation of Citrus Virologists.
Who characterized the proteins associated with citrus blight in 1990?,"Derrick, K. S., Lee, R. F., Brlansky, R. H., Timmer, L. W., Hewitt, B. G., & Barthe, G. A."
What is the name of the review article published in 2000 on citrus blight and other diseases of recalcitrant etiology?,Citrus blight and other disease of recalcitrant etiology.
Who developed transgenic resistance to Citrus tristeza virus in grapefruit in 2008?,"Febres, V. J., Lee, R. F., & Moore, G. A."
What is the name of the journal where the article on the partial characterization of a virus associated with citrus ringspot was published in 1988?,Phytopathology.
Who demonstrated the effectiveness of heat treatments on tristeza and psorosis viruses in citrus in 1957?,"Grant, T. J."
What is the name of the disease that can be associated with the presence of two different viruses in citrus?,Citrus leprosis.
Who characterized the nucleotide sequence and genome organization of Dweet mottle virus in 2010?,"Hajeri, S., Ramadugu, C., Keremane, M., Vidalakis, G., & Lee, R."
What is the name of the conference where the 15th International Organisation of Citrus Virologists presented their research in 2005?,Proceedings of the 15th conference of the International Organisation of Citrus Virologists.
